date,AAPL,MSFT,AMZN,GOOGL,META,TSLA,NVDA,JPM,V,JNJ
2023-04-13,165.33006,289.21368,102.4,107.43,220.35,185.9,264.60175,128.99,232.23761,164.85939
2023-04-12,159.87766,282.8774,97.83,104.64,214.0,180.54,264.92172,128.5,227.3671,162.68588
2023-04-11,160.57668,282.2188,99.92,105.35,213.85,186.79,271.661,128.52,228.00586,163.03325
2023-04-10,161.80498,288.76465,102.17,106.44,214.75,184.51,275.76056,127.89,225.98978,163.08287
2023-04-06,164.43132,290.96988,102.06,108.42,216.1,185.06,270.34116,127.47,225.55063,163.90662
2023-04-05,163.53256,283.72556,101.1,104.47,211.48,185.52,268.7813,127.61,227.7264,164.36316
2023-04-04,165.39998,286.55942,103.95,104.72,214.72,192.58,274.5007,127.42148,227.21739,157.29677
2023-04-03,165.93922,286.6093,102.41,104.36,213.07,194.77,279.62015,129.14795,228.55478,155.66911
2023-03-31,164.67099,287.677,103.29,103.73,211.94,207.46,277.74036,129.29678,225.02167,153.83304
2023-03-30,162.1345,283.4362,102.0,100.89,207.84,195.28,273.80078,127.74891,221.92769,152.27486
2023-03-29,160.54672,279.90384,100.25,101.39,205.35,193.88,269.8112,128.13588,222.86586,152.15576
2023-03-28,157.43106,274.63525,97.24,101.03,200.68,189.19,264.0718,127.8779,219.90164,150.67699
2023-03-27,158.06018,275.78278,98.04,102.46,202.84,191.81,265.28168,127.49094,221.37877,152.14584
2023-03-24,160.02745,279.9637,98.13,105.44,206.01,190.41,267.7614,123.93877,220.61026,151.50073
2023-03-23,158.70927,277.06,98.71,105.6,204.28,192.22,271.88098,125.85376,222.15724,149.99217
2023-03-22,157.61081,271.7016,98.7,103.37,199.81,191.15,264.65176,126.19112,219.6122,149.91278
2023-03-21,159.05879,273.1884,100.61,104.92,202.16,197.58,261.96204,129.53491,221.5185,152.7314
2023-03-20,157.1814,271.64172,97.71,101.22,197.81,183.25,258.97235,126.15143,217.72588,152.7314
2023-03-17,154.78473,278.82617,98.95,101.62,195.61,180.13,257.22253,124.83177,216.96736,151.23276
2023-03-16,155.63356,275.60315,100.04,100.32,204.93,184.13,255.38274,129.73337,217.02724,152.87035
2023-03-15,152.77753,264.8664,96.2,96.11,197.75,180.45,242.25414,127.26272,215.94934,153.18793
2023-03-14,152.37808,260.22644,94.88,93.97,194.02,183.26,240.60432,133.57327,218.23488,152.76117
2023-03-13,150.26103,253.37129,92.43,91.11,180.9,174.48,229.63548,130.22948,214.05302,151.90764
2023-03-10,148.29376,248.05281,90.73,90.63,179.51,173.44,229.62549,132.61081,215.71979,150.46857
2023-03-09,150.38086,251.77475,92.25,92.32,181.69,172.92,234.33499,129.32655,219.58226,150.10135
2023-03-08,152.6577,253.15178,93.92,94.25,184.97,182.0,241.7842,136.72855,221.75803,151.8084
2023-03-07,151.38945,253.6008,93.55,93.86,184.51,187.71,232.85515,137.54218,222.73611,152.92989
2023-03-06,153.61636,256.3149,93.75,95.13,184.9,193.81,235.47441,141.70952,226.30916,154.38882
2023-03-03,150.82025,254.73834,94.9,93.65,185.25,197.79,238.83348,142.54298,223.33495,152.86041
2023-03-02,145.70735,250.56737,92.13,92.0,174.53,190.9,233.07509,139.97311,218.63411,151.30223
2023-03-01,145.10818,245.73782,92.17,90.36,173.42,202.77,226.9168,141.4416,217.93547,151.42133
2023-02-28,147.20528,248.88103,94.23,90.06,174.94,205.71,232.09535,142.2354,219.51239,152.10614
2023-02-27,147.71457,249.61942,93.76,89.87,169.54,207.63,234.94456,141.05464,219.9216,154.4583
2023-02-24,146.50624,248.68146,93.5,89.13,170.39,196.88,232.79517,139.83421,219.12315,154.79573
2023-02-23,149.1925,254.21947,95.82,90.89,172.04,202.07,236.57411,138.584,220.70009,156.54248
2023-02-22,148.70319,250.9665,95.79,91.65,171.12,200.86,207.48221,137.48264,219.59224,156.5921
2023-02-21,148.27379,252.124,94.58,91.79,172.08,197.37,206.4925,138.54431,220.19107,156.81046
2023-02-17,152.33813,257.50235,97.2,94.35,172.88,208.31,213.82045,141.13402,223.12537,159.18246
2023-02-16,153.49652,261.58353,98.15,95.51,172.44,202.04,219.95874,140.71729,225.39095,155.94992
2023-02-15,155.11427,268.738,101.16,96.94,177.16,214.24,227.57661,142.68188,228.47495,157.06357
2023-02-14,152.98723,270.8979,99.7,94.68,179.48,209.25,229.64604,142.08656,228.94403,159.69493
